Date,AAPL,AMZN,KO,MSFT,NKE
"2012-08-30",23.709642,246.220001,37.139999,30.32,24.4375
"2012-08-31",23.758572,248.270004,37.400002,30.82,24.34
"2012-09-04",24.106071,247.880005,37.279999,30.389999,24.315001
"2012-09-05",23.936787,246.220001,37.509998,30.389999,24.3375
"2012-09-06",24.1525,251.380005,38.150002,31.35,24.865
"2012-09-07",24.301428,259.140015,37.900002,30.950001,24.8225
"2012-09-10",23.669285,257.089996,37.66,30.719999,25.01
"2012-09-11",23.592501,255.669998,37.77,30.790001,24.92
"2012-09-12",23.921072,255.630005,37.549999,30.780001,25.209999
"2012-09-13",24.392143,260.23999,38.349998,30.940001,24.799999
"2012-09-14",24.688572,261.269989,38.119999,31.209999,24.16
"2012-09-17",24.992144,258,38.349998,31.209999,24.4925
"2012-09-18",25.068214,258.75,38.619999,31.18,24.43
"2012-09-19",25.075001,261.679993,38.52,31.049999,24.415001
